prop,propLabel,paperCount
http://orkg.org/orkg/predicate/P32,has research problem,7227
http://orkg.org/orkg/predicate/P9040,Study date,1025
http://orkg.org/orkg/predicate/P15068,Research Method,987
http://orkg.org/orkg/predicate/P30002,stand of hypothesis,966
http://orkg.org/orkg/predicate/P30001,hypothesis,966
http://orkg.org/orkg/predicate/P30004,type of experiment,966
http://orkg.org/orkg/predicate/P27030,Continent,960
http://orkg.org/orkg/predicate/P31005,Habitat,943
http://orkg.org/orkg/predicate/P31023,Investigated species,939
http://orkg.org/orkg/predicate/P31024,Number of species,910
http://orkg.org/orkg/predicate/P15072,Year,653
http://orkg.org/orkg/predicate/HAS_METHOD,Has method,488
http://orkg.org/orkg/predicate/METHOD,Method,466
http://orkg.org/orkg/predicate/HAS_RESULTS,Has result,404
http://orkg.org/orkg/predicate/P15239,Methodology,293
http://orkg.org/orkg/predicate/P29012,Measure of invasion success,288
http://orkg.org/orkg/predicate/HAS_MODEL,has model,218
http://orkg.org/orkg/predicate/P37543,Year,215
http://orkg.org/orkg/predicate/P33008,Type of interaction,211
http://orkg.org/orkg/predicate/HAS_BENCHMARK,has benchmark,210
http://orkg.org/orkg/predicate/P33011,Outcome of interaction,208
http://orkg.org/orkg/predicate/P33009,Type of effect description,208
http://orkg.org/orkg/predicate/P33010,Ecological Level of evidence,208
http://orkg.org/orkg/predicate/P3000,keywords,188
http://orkg.org/orkg/predicate/P15342,Type of data,183
http://orkg.org/orkg/predicate/HAS_SOURCE_CODE,has source code,182
http://orkg.org/orkg/predicate/P15051,Objective,177
http://orkg.org/orkg/predicate/P15343,Shape of EKC,169
http://orkg.org/orkg/predicate/P15341,Power of income,169
http://orkg.org/orkg/predicate/P33,approach,167
http://orkg.org/orkg/predicate/P33006,Measure of resistance/susceptibility,166
http://orkg.org/orkg/predicate/P15340,Context,164
http://orkg.org/orkg/predicate/P33038,Indicator for enemy release,164
http://orkg.org/orkg/predicate/P33039,Release of which kind of enemies?,164
http://orkg.org/orkg/predicate/P33037,Which species are compared?,164
http://orkg.org/orkg/predicate/P33036,Sub-hypothesis,164
http://orkg.org/orkg/predicate/P15238,Period,162
http://orkg.org/orkg/predicate/P33014,Measure of native biodiversity,154
http://orkg.org/orkg/predicate/P43085,paper:publised_in,140
http://orkg.org/orkg/predicate/P15524,Main purpose,129
http://orkg.org/orkg/predicate/HAS_APPROACH,Has approach,128
http://orkg.org/orkg/predicate/P32119,Direct anthropogenic dist.?,126
http://orkg.org/orkg/predicate/P32117,Measure of disturbance,126
http://orkg.org/orkg/predicate/P32118,Type of disturbance,126
http://orkg.org/orkg/predicate/P43086,Qual List,123
http://orkg.org/orkg/predicate/P37364,Area of study,122
http://orkg.org/orkg/predicate/P15,implementation,122
http://orkg.org/orkg/predicate/P29,has publication year,119
http://orkg.org/orkg/predicate/P37578,Uses drug,118
http://orkg.org/orkg/predicate/P15522,Methods of discrimination/ classification,118
http://orkg.org/orkg/predicate/P37041,Study Area,117
http://orkg.org/orkg/predicate/P15519,Image resolution [m] PAN MS,117
http://orkg.org/orkg/predicate/P15523,Eval. of results,117
http://orkg.org/orkg/predicate/P15521,Methods of vessel candidate detection,114
http://orkg.org/orkg/predicate/P32001,Specific traits,114
http://orkg.org/orkg/predicate/P32002,Species name,113
http://orkg.org/orkg/predicate/P15237,Countries,113
http://orkg.org/orkg/predicate/P15090,substrate,109
http://orkg.org/orkg/predicate/P2005,dataset,109
http://orkg.org/orkg/predicate/P43087,Ranking,105
http://orkg.org/orkg/predicate/description,description,103
http://orkg.org/orkg/predicate/P4017,Data,101
http://orkg.org/orkg/predicate/P15517,Satellite sensor,100
http://orkg.org/orkg/predicate/P15268,Market,99
http://orkg.org/orkg/predicate/P9041,Methods,98
http://orkg.org/orkg/predicate/P27029,Region of data collection,95
http://orkg.org/orkg/predicate/P2001,Algorithm,94
http://orkg.org/orkg/predicate/P43088,Technology,93
http://orkg.org/orkg/predicate/P32122,Measure of propagule pressure,92
http://orkg.org/orkg/predicate/P43084,paper: publication_year,91
http://orkg.org/orkg/predicate/P43083,paper:author,91
http://orkg.org/orkg/predicate/P11,problem,91
http://orkg.org/orkg/predicate/P15344,EKC Turnaround point(s),89
http://orkg.org/orkg/predicate/P37316,Sampling year,88
http://orkg.org/orkg/predicate/P5049,location,88
http://orkg.org/orkg/predicate/P15421,Types,87
http://orkg.org/orkg/predicate/P15424,Positive highlights,86
http://orkg.org/orkg/predicate/P15422,Objective/estimate(s) process systems,86
http://orkg.org/orkg/predicate/P15423,Systems applied,86
http://orkg.org/orkg/predicate/HAS_EVALUATION,Has evaluation,85
http://orkg.org/orkg/predicate/P15271,Main question,84
http://orkg.org/orkg/predicate/P15249,Country,84
http://orkg.org/orkg/predicate/P37004,location of study,83
http://orkg.org/orkg/predicate/P41848,Research objective,83
http://orkg.org/orkg/predicate/P15328,Country zone,83
http://orkg.org/orkg/predicate/P37317,Sampling period,82
