researchproblem,researchproblemLabel,paperCount
http://orkg.org/orkg/resource/R57587,Testing the enemy release hypothesis in invasion biology,248
http://orkg.org/orkg/resource/R56530,Testing the invasional meltdown hypothesis in invasion biology,208
http://orkg.org/orkg/resource/R30740,Disaster management,205
http://orkg.org/orkg/resource/R29367,CO2 emissions,171
http://orkg.org/orkg/resource/R57102,Testing the biotic resistence hypothesis in invasion biology,170
http://orkg.org/orkg/resource/R54245,Testing the disturbance hypothesis in invasion biology,169
http://orkg.org/orkg/resource/R31811,Synthetic fuels investments,150
http://orkg.org/orkg/resource/R32545,Vessel detection,119
http://orkg.org/orkg/resource/R54953,Testing the propagule pressure hypothesis in invasion biology,119
http://orkg.org/orkg/resource/R28143,Network optimization,116
http://orkg.org/orkg/resource/R54013,Testing the phenotypic plasticity hypothesis in invasion biology,115
http://orkg.org/orkg/resource/R120872,Language Modelling,108
http://orkg.org/orkg/resource/R139925,Smart cities,103
http://orkg.org/orkg/resource/R68532,weevil phenotype data,103
http://orkg.org/orkg/resource/R68531,host association,103
http://orkg.org/orkg/resource/R56946,Testing the tens rule hypothesis in invasion biology,102
http://orkg.org/orkg/resource/R75732,SPARQL query optimization,100
http://orkg.org/orkg/resource/R33634,Neural Network Applications,98
http://orkg.org/orkg/resource/R144729,Design and implementation of epidemiological surveillance systems,97
http://orkg.org/orkg/resource/R26777,Fleet composition and routing,96
http://orkg.org/orkg/resource/R31303,Chemical process systems,92
http://orkg.org/orkg/resource/R38570,Image Classification,91
http://orkg.org/orkg/resource/R27485,Energy-economic growth,90
http://orkg.org/orkg/resource/R29113,Enterprise resource planning,83
http://orkg.org/orkg/resource/R108963,Biodiversity inventories with DNA based-tools,83
http://orkg.org/orkg/resource/R26155,Combined inventory management,73
http://orkg.org/orkg/resource/R44421,Antiepileptic drugs' safety and effectiveness,69
http://orkg.org/orkg/resource/R26553,Sensor networks clustering,69
http://orkg.org/orkg/resource/R25769,Selective Hydrogenation over Supported Metal Catalysts,68
http://orkg.org/orkg/resource/R26378,Chitosan and its antimicrobial potential,66
http://orkg.org/orkg/resource/R28618,Search-Based Software Engineering,65
http://orkg.org/orkg/resource/R48245,Global Mean Sea Level Rise Projections,64
http://orkg.org/orkg/resource/R27842,Stereo Vision Disparity Map Algorithms,61
http://orkg.org/orkg/resource/R124884,Atari Games,60
http://orkg.org/orkg/resource/R70420,Biomedical research in  Psychiatric Disorders,56
http://orkg.org/orkg/resource/R28968,Facial Landmark Detection,55
http://orkg.org/orkg/resource/R33101,Supply chain management,55
http://orkg.org/orkg/resource/R32961,Chromosome 1 abnormalities,55
http://orkg.org/orkg/resource/R56000,Projected change of global and annual mean surface air temperature,54
